"title","amount","department","detail","views","city","date"
"
                      I paid a bribe to a police officer
                    ","Paid INR 250
                        ","Passport","Police Verification for Passport","307 views","New Delhi
                      , Delhi","October 25, 2015"
"
                      I Paid Rs. 120 to Municipal Services in Pune.
                    ","Paid INR 120
                        ","Municipal Services","Birth Certificate","222 views","Pune
                      , Maharashtra","October 25, 2015"
"
                      Bribe paid to Customs Officials at Hyderabad International Airport
                    ","Paid INR 2,000
                        ","Airports","Immigration Check","249 views","Hyderabad
                      , Telangana","October 25, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Hyderabad.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","237 views","Hyderabad
                      , Telangana","October 25, 2015"
"
                      I Paid Rs. 25 to Municipal Services in Chennai.
                    ","Paid INR 25
                        ","Municipal Services","Birth Certificate","235 views","Chennai
                      , Tamil Nadu","October 25, 2015"
"
                      I Paid Rs. 500000 to Municipal Services in Aurangabad.
                    ","Paid INR 5,00,000
                        ","Municipal Services","Birth Certificate","213 views","Aurangabad
                      , Maharashtra","October 25, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Ulhasnagar.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","208 views","Ulhasnagar
                      , Maharashtra","October 24, 2015"
"
                      I Paid Rs. 2000 to Income Tax in Chennai.
                    ","Paid INR 2,000
                        ","Income Tax","New PAN Card","242 views","Chennai
                      , Tamil Nadu","October 24, 2015"
"
                      I Paid Rs. 100 to Police in New Delhi.
                    ","Paid INR 100
                        ","Police","Traffic Violations","252 views","New Delhi
                      , Delhi","October 24, 2015"
"
                      I Paid Rs. 1999 to Municipal Services in Thiruvananthapuram.
                    ","Paid INR 1,999
                        ","Municipal Services","Birth Certificate","200 views","Thiruvananthapuram
                      , Kerala","October 24, 2015"
"
                      I Paid Rs. 300000 to Municipal Services in Kolkata.
                    ","Paid INR 3,00,000
                        ","Municipal Services","Birth Certificate","196 views","Kolkata
                      , West Bengal","October 24, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Chennai.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","202 views","Chennai
                      , Tamil Nadu","October 24, 2015"
"
                      I Paid Rs. 800000 to Stamps and Registration in Mumbai.
                    ","Paid INR 8,00,000
                        ","Stamps and Registration","Registration of Property","257 views","Mumbai
                      , Maharashtra","October 24, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","206 views","Abhayapuri
                      , Assam","October 24, 2015"
"
                      I Paid Rs. 248 to Transport in New Delhi.
                    ","Paid INR 248
                        ","Transport","Duplicate Registration Certificate","266 views","New Delhi
                      , Delhi","October 24, 2015"
"
                      I Paid Rs. 123456 to Others in Dadri.
                    ","Paid INR 1,23,456
                        ","Others","Others","211 views","Dadri
                      , Uttar Pradesh","October 24, 2015"
"
                      I Paid Rs. 10 to Municipal Services in Bhopal.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","178 views","Bhopal
                      , Madhya Pradesh","October 24, 2015"
"
                      I Paid Rs. 500 to Police in Lucknow.
                    ","Paid INR 500
                        ","Police","Filing FIR","199 views","Lucknow
                      , Uttar Pradesh","October 24, 2015"
"
                      I Paid Rs. 12000 to Municipal Services in Mumbai.
                    ","Paid INR 12,000
                        ","Municipal Services","Birth Certificate","171 views","Mumbai
                      , Maharashtra","October 24, 2015"
"
                      For taking  an action on filed complaint.
                    ","Paid INR 8,000
                        ","Police","Lodging Police Complaint","203 views","Ghaziabad
                      , Uttar Pradesh","October 24, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Adilabad.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","157 views","Adilabad
                      , Telangana","October 24, 2015"
"
                      I Paid Rs. 150 to Municipal Services in Abhayapuri.
                    ","Paid INR 150
                        ","Municipal Services","Birth Certificate","169 views","Abhayapuri
                      , Assam","October 24, 2015"
"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Gwalior.
                    ","Paid INR 100
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","153 views","Gwalior
                      , Madhya Pradesh","October 24, 2015"
"
                      I Paid Rs. 100 to Income Tax in Mumbai.
                    ","Paid INR 100
                        ","Income Tax","New PAN Card","195 views","Mumbai
                      , Maharashtra","October 24, 2015"
"
                      I Paid Rs. 1 to Municipal Services in Indore.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","184 views","Indore
                      , Madhya Pradesh","October 23, 2015"
"
                      I Paid Rs. 1200 to Municipal Services in Abhayapuri.
                    ","Paid INR 1,200
                        ","Municipal Services","Birth Certificate","172 views","Abhayapuri
                      , Assam","October 23, 2015"
"
                      I Paid Rs. 6000 to Others in Abhayapuri.
                    ","Paid INR 6,000
                        ","Others","Others","192 views","Abhayapuri
                      , Assam","October 23, 2015"
"
                      I Paid Rs. 50000 to Stamps and Registration in Abohar.
                    ","Paid INR 50,000
                        ","Stamps and Registration","Marriage Certificate","243 views","Abohar
                      , Punjab","October 23, 2015"
"
                      I Paid Rs. 15111 to Municipal Services in Surat.
                    ","Paid INR 15,111
                        ","Municipal Services","Birth Certificate","174 views","Surat
                      , Gujarat","October 23, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Shivpuri.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","153 views","Shivpuri
                      , Madhya Pradesh","October 23, 2015"
"
                      I Paid Rs. 50 to Municipal Services in Pune.
                    ","Paid INR 50
                        ","Municipal Services","Birth Certificate","156 views","Pune
                      , Maharashtra","October 23, 2015"
"
                      I Paid Rs. 120 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Paid INR 120
                        ","Commercial Tax, Sales Tax, VAT","C Form","199 views","New Delhi
                      , Delhi","October 23, 2015"
"
                      I Paid Rs. 300 to Others in Belgaum.
                    ","Paid INR 300
                        ","Others","Others","170 views","Belgaum
                      , Karnataka","October 23, 2015"
"
                      I Paid Rs. 10 to Customs, Excise and Service Tax in Palasa Kasibugga.
                    ","Paid INR 10
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","167 views","Palasa Kasibugga
                      , Andhra Pradesh","October 23, 2015"
"
                      I Paid Rs. 1000 to Municipal Services in Agartala.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","131 views","Agartala
                      , Tripura","October 23, 2015"
"
                      I Paid Rs. 15000 to Municipal Services in Uttara Kannada.
                    ","Paid INR 15,000
                        ","Municipal Services","Birth Certificate","145 views","Uttara Kannada
                      , Karnataka","October 23, 2015"
"
                      I Paid Rs. 10 to Others in Maldah.
                    ","Paid INR 10
                        ","Others","Others","160 views","Maldah
                      , West Bengal","October 23, 2015"
"
                      I Paid Rs. 250000 to Income Tax in Madurai.
                    ","Paid INR 2,50,000
                        ","Income Tax","New PAN Card","168 views","Madurai
                      , Tamil Nadu","October 23, 2015"
"
                      I Paid Rs. 2500 to Municipal Services in Abhayapuri.
                    ","Paid INR 2,500
                        ","Municipal Services","Birth Certificate","153 views","Abhayapuri
                      , Assam","October 23, 2015"
"
                      I Paid Rs. 1400 to Municipal Services in Vadakara.
                    ","Paid INR 1,400
                        ","Municipal Services","Birth Certificate","146 views","Vadakara
                      , Kerala","October 23, 2015"
"
                      Airport customs Red channel
                    ","Paid INR 1,100
                        ","Airports","Customs","227 views","Mumbai
                      , Maharashtra","October 23, 2015"
"
                      I Paid Rs. 1000 to Railways in Chennai.
                    ","Paid INR 1,000
                        ","Railways","Transport of Goods","259 views","Chennai
                      , Tamil Nadu","October 22, 2015"
"
                      I Paid Rs. 200 to Police in Gurgaon.
                    ","Paid INR 200
                        ","Police","Filing FIR","208 views","Gurgaon
                      , Haryana","October 22, 2015"
"
                      I Paid Rs. 100 to Others in Kota.
                    ","Paid INR 100
                        ","Others","Others","200 views","Kota
                      , Rajasthan","October 22, 2015"
"
                      I Paid Rs. 500 to Police in Kolkata.
                    ","Paid INR 500
                        ","Police","Filing FIR","227 views","Kolkata
                      , West Bengal","October 22, 2015"
"
                      I Paid Rs. 76 to Others in New Delhi.
                    ","Paid INR 76
                        ","Others","Others","271 views","New Delhi
                      , Delhi","October 22, 2015"
"
                      I Paid Rs. 42 to Others in Ponnur.
                    ","Paid INR 42
                        ","Others","Others","235 views","Ponnur
                      , Andhra Pradesh","October 22, 2015"
"
                      I Paid Rs. 10 to Municipal Services in Jaunpur.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","187 views","Jaunpur
                      , Uttar Pradesh","October 22, 2015"
"
                      I Paid Rs. 21 to Municipal Services in Abhayapuri.
                    ","Paid INR 21
                        ","Municipal Services","Birth Certificate","193 views","Abhayapuri
                      , Assam","October 22, 2015"
"
                      I Paid Rs. 122 to Municipal Services in Bhagalpur.
                    ","Paid INR 122
                        ","Municipal Services","Birth Certificate","178 views","Bhagalpur
                      , Bihar","October 22, 2015"
"
                      I Paid Rs. 500 to Transport in Abohar.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","243 views","Abohar
                      , Punjab","October 22, 2015"
"
                      I paid Rs.3000(approx.) to get Birth Certificate for myself
                    ","Paid INR 3,000
                        ","Municipal Services","Birth Certificate","166 views","Narasaraopet
                      , Andhra Pradesh","October 22, 2015"
"
                      I Paid Rs. 1000 to Municipal Services in Chennai.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","192 views","Chennai
                      , Tamil Nadu","October 22, 2015"
"
                      I Paid Rs. 99 to Income Tax in Adari.
                    ","Paid INR 99
                        ","Income Tax","New PAN Card","208 views","Adari
                      , Uttar Pradesh","October 22, 2015"
"
                      I Paid Rs. 22 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Paid INR 22
                        ","Commercial Tax, Sales Tax, VAT","C Form","227 views","Abhayapuri
                      , Assam","October 21, 2015"
"
                      I Paid Rs. 3000 to Transport in Bidar.
                    ","Paid INR 3,000
                        ","Transport","New Domestic Driving License","243 views","Bidar
                      , Karnataka","October 21, 2015"
"
                      I Paid Rs. 22 to Income Tax in Amarpur.
                    ","Paid INR 22
                        ","Income Tax","New PAN Card","185 views","Amarpur
                      , Bihar","October 21, 2015"
"
                      I Paid Rs. 300 to Municipal Services in Chandigarh.
                    ","Paid INR 300
                        ","Municipal Services","Birth Certificate","185 views","Chandigarh
                      , Chandigarh","October 21, 2015"
"
                      I Paid Rs. 8 to Stamps and Registration in Abhayapuri.
                    ","Paid INR 8
                        ","Stamps and Registration","Registration of Flat or Apartment","253 views","Abhayapuri
                      , Assam","October 21, 2015"
"
                      I Paid Rs. 5 to Others in Kurnool.
                    ","Paid INR 5
                        ","Others","Others","209 views","Kurnool
                      , Andhra Pradesh","October 21, 2015"
"
                      I Paid Rs. 100 to Others in Jaipur.
                    ","Paid INR 100
                        ","Others","Others","188 views","Jaipur
                      , Rajasthan","October 21, 2015"
"
                      I Paid Rs. 876776 to Police in Agra.
                    ","Paid INR 8,76,776
                        ","Police","Police Harassment","235 views","Agra
                      , Uttar Pradesh","October 21, 2015"
"
                      I Paid Rs. 5000 to Others in Aligarh.
                    ","Paid INR 5,000
                        ","Others","Others","165 views","Aligarh
                      , Uttar Pradesh","October 21, 2015"
"
                      I Paid Rs. 123 to Transport in Adityapur.
                    ","Paid INR 123
                        ","Transport","New Domestic Driving License","193 views","Adityapur
                      , Jharkhand","October 21, 2015"
"
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 100
                        ","Commercial Tax, Sales Tax, VAT","C Form","212 views","Abohar
                      , Punjab","October 21, 2015"
"
                      100 rs for an FIR copy
                    ","Paid INR 100
                        ","Police","Filing FIR","219 views","Imphal
                      , Manipur","October 21, 2015"
"
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Achhnera.
                    ","Paid INR 1,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","189 views","Achhnera
                      , Uttar Pradesh","October 21, 2015"
"
                      I Paid Rs. 200 to Municipal Services in Pratapgarh.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","147 views","Pratapgarh
                      , Tripura","October 21, 2015"
"
                      I Paid Rs. 1000 to Police in Ahmedabad.
                    ","Paid INR 1,000
                        ","Police","Traffic Violations","172 views","Ahmedabad
                      , Gujarat","October 21, 2015"
"
                      I Paid Rs. 700 to Municipal Services in Chennai.
                    ","Paid INR 700
                        ","Municipal Services","Birth Certificate","147 views","Chennai
                      , Tamil Nadu","October 21, 2015"
"
                      I Paid Rs. 30000 to Municipal Services in Dhanbad.
                    ","Paid INR 30,000
                        ","Municipal Services","Birth Certificate","173 views","Dhanbad
                      , Jharkhand","October 21, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Durgapur.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","156 views","Durgapur
                      , West Bengal","October 21, 2015"
"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Basti.
                    ","Paid INR 100
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","178 views","Basti
                      , Uttar Pradesh","October 21, 2015"
"
                      I Paid Rs. 9000 to Others in Hyderabad.
                    ","Paid INR 9,000
                        ","Others","Others","177 views","Hyderabad
                      , Telangana","October 20, 2015"
"
                      I Paid Rs. 5000 to Municipal Services in Mumbai.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","162 views","Mumbai
                      , Maharashtra","October 20, 2015"
"
                      I Paid Rs. 44 to  in .
                    ","Paid INR 44
                        ","","","212 views","
                      , ","October 20, 2015"
"
                      I Paid Rs. 100 to Railways in Bina.
                    ","Paid INR 100
                        ","Railways","Transport of Goods","206 views","Bina
                      , Madhya Pradesh","October 20, 2015"
"
                      For the Birth Certificate of My Daughter
                    ","Paid INR 300
                        ","Municipal Services","Birth Certificate","229 views","Bangalore
                      , Karnataka","October 20, 2015"
"
                      For Wrong Parking of Two Wheeler
                    ","Paid INR 300
                        ","Police","Traffic Violations","244 views","Bangalore
                      , Karnataka","October 20, 2015"
"
                      Have to pay the bribe even after having right documents
                    ","Paid INR 500
                        ","Transport","Duplicate Driving License","220 views","Jaipur
                      , Rajasthan","October 20, 2015"
"
                      I Paid Rs. 200 to Municipal Services in Udaipur.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","171 views","Udaipur
                      , Tripura","October 20, 2015"
"
                      I Paid Rs. 200 to Municipal Services in Mumbai.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","184 views","Mumbai
                      , Maharashtra","October 20, 2015"
"
                      Paid Bribe for filing ER 1 Return and for other certificate
                    ","Paid INR 34,000
                        ","Customs, Excise and Service Tax","Excise Return","277 views","Bangalore
                      , Karnataka","October 20, 2015"
"
                      I Paid Rs. 500 to Transport in Abohar.
                    ","Paid INR 500
                        ","Transport","New Domestic Driving License","232 views","Abohar
                      , Punjab","October 20, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bharatpur.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","171 views","Bharatpur
                      , Rajasthan","October 20, 2015"
"
                      I Paid Rs. 3500 to Passport in Bangalore.
                    ","Paid INR 3,500
                        ","Passport","Police Verification for Passport","382 views","Bangalore
                      , Karnataka","October 19, 2015"
"
                      I Paid Rs. 12000 to Municipal Services in Ludhiana.
                    ","Paid INR 12,000
                        ","Municipal Services","Birth Certificate","242 views","Ludhiana
                      , Punjab","October 19, 2015"
"
                      I Paid Rs. 4000 to Transport in Adari.
                    ","Paid INR 4,000
                        ","Transport","Registration of Vehicle","229 views","Adari
                      , Uttar Pradesh","October 19, 2015"
"
                      I Paid Rs. 15000 to Others in New Delhi.
                    ","Paid INR 15,000
                        ","Others","Others","264 views","New Delhi
                      , Delhi","October 19, 2015"
"
                      I Paid Rs. 100 to Municipal Services in New Delhi.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","247 views","New Delhi
                      , Delhi","October 19, 2015"
"
                      I Paid Rs. 54 to Income Tax in Faizabad.
                    ","Paid INR 54
                        ","Income Tax","New PAN Card","226 views","Faizabad
                      , Uttar Pradesh","October 19, 2015"
"
                      I Paid Rs. 3500 to Municipal Services in Lucknow.
                    ","Paid INR 3,500
                        ","Municipal Services","Birth Certificate","222 views","Lucknow
                      , Uttar Pradesh","October 19, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Dharmapuri.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","211 views","Dharmapuri
                      , Tamil Nadu","October 19, 2015"
"
                      I Paid Rs. 2525 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Paid INR 2,525
                        ","Commercial Tax, Sales Tax, VAT","C Form","218 views","Abhayapuri
                      , Assam","October 19, 2015"
"
                      I Paid Rs. 200 to Municipal Services in Abohar.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","199 views","Abohar
                      , Punjab","October 19, 2015"
"
                      I Paid Rs. 2500 to Municipal Services in Pune.
                    ","Paid INR 2,500
                        ","Municipal Services","Birth Certificate","256 views","Pune
                      , Maharashtra","October 18, 2015"
"
                      I Paid Rs. 10 to Others in Chennai.
                    ","Paid INR 10
                        ","Others","Others","258 views","Chennai
                      , Tamil Nadu","October 18, 2015"
"
                      I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Abhayapuri.
                    ","Paid INR 100
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","278 views","Abhayapuri
                      , Assam","October 18, 2015"
"
                      I Paid Rs. 100 to Others in Chennai.
                    ","Paid INR 100
                        ","Others","Others","249 views","Chennai
                      , Tamil Nadu","October 18, 2015"
"
                      I Paid Rs. 700 to Municipal Services in Abhayapuri.
                    ","Paid INR 700
                        ","Municipal Services","Birth Certificate","284 views","Abhayapuri
                      , Assam","October 18, 2015"
"
                      I Paid Rs. 1000 to Others in Bangalore.
                    ","Paid INR 1,000
                        ","Others","Others","299 views","Bangalore
                      , Karnataka","October 18, 2015"
"
                      I Paid Rs. 6000 to Municipal Services in Pune.
                    ","Paid INR 6,000
                        ","Municipal Services","Birth Certificate","254 views","Pune
                      , Maharashtra","October 18, 2015"
"
                      I Paid Rs. 19 to Municipal Services in Ludhiana.
                    ","Paid INR 19
                        ","Municipal Services","Birth Certificate","228 views","Ludhiana
                      , Punjab","October 18, 2015"
"
                      I paid bribe for Katha Transfer BBMP
                    ","Paid INR 15,000
                        ","Revenue","Residence Certificate","300 views","Bangalore
                      , Karnataka","October 18, 2015"
"
                      Name of the officer = sandipan guha date of incident = 7th sep 2015…
                    ","Paid INR 10,000
                        ","Police","Filing FIR","486 views","Barrackpur
                      , West Bengal","October 17, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Adari.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","226 views","Adari
                      , Uttar Pradesh","October 17, 2015"
"
                      Paid Bribe for Getting Stipend in M.Tech  during my studies- Andhra University
                    ","Paid INR 5,000
                        ","Education","Obtaining Scholarship","269 views","Visakhapatnam
                      , Andhra Pradesh","October 17, 2015"
"
                      I Paid Rs. 441 to Commercial Tax, Sales Tax, VAT in Adari.
                    ","Paid INR 441
                        ","Commercial Tax, Sales Tax, VAT","C Form","266 views","Adari
                      , Uttar Pradesh","October 17, 2015"
"
                      I Paid Rs. 10000 to Others in Mumbai.
                    ","Paid INR 10,000
                        ","Others","Others","265 views","Mumbai
                      , Maharashtra","October 17, 2015"
"
                      I Paid Rs. 25000 to Police in Adari.
                    ","Paid INR 25,000
                        ","Police","Filing FIR","313 views","Adari
                      , Uttar Pradesh","October 17, 2015"
"
                      I Paid Rs. 4300 to Municipal Services in Bhuj.
                    ","Paid INR 4,300
                        ","Municipal Services","Birth Certificate","248 views","Bhuj
                      , Gujarat","October 17, 2015"
"
                      I Paid Rs. 15 to Income Tax in New Delhi.
                    ","Paid INR 15
                        ","Income Tax","New PAN Card","257 views","New Delhi
                      , Delhi","October 17, 2015"
"
                      I Paid Rs. 200 to Income Tax in Mumbai.
                    ","Paid INR 200
                        ","Income Tax","New PAN Card","226 views","Mumbai
                      , Maharashtra","October 17, 2015"
"
                      I Paid Rs. 1000 to Municipal Services in Abhayapuri.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","210 views","Abhayapuri
                      , Assam","October 17, 2015"
"
                      Property Tax Collector takes bribe but issues remain pending.
                    ","Paid INR 7,000
                        ","Municipal Services","Property Tax","205 views","Chennai
                      , Tamil Nadu","October 16, 2015"
"
                      I Paid Rs. 2000000 to Income Tax in Mumbai.
                    ","Paid INR 20,00,000
                        ","Income Tax","New PAN Card","214 views","Mumbai
                      , Maharashtra","October 16, 2015"
"
                      I Paid Rs. 200 to Police in Kakinada.
                    ","Paid INR 200
                        ","Police","Police Clearance Certificate","257 views","Kakinada
                      , Andhra Pradesh","October 16, 2015"
"
                      Corrupt loafers of DEO office madurai
                    ","Paid INR 1,000
                        ","Education","School or College Related Activities","237 views","Madurai
                      , Tamil Nadu","October 16, 2015"
"
                      I Paid Rs. 1000 to Municipal Services in Adilabad.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","233 views","Adilabad
                      , Telangana","October 16, 2015"
"
                      I Paid Rs. 5 to Municipal Services in Kolkata.
                    ","Paid INR 5
                        ","Municipal Services","Birth Certificate","196 views","Kolkata
                      , West Bengal","October 16, 2015"
"
                      Was asked to Pay a Bribe of 500 for Police Verifiaction
                    ","Paid INR 500
                        ","Police","Police Verification for Passport","288 views","Howrah
                      , West Bengal","October 15, 2015"
"
                      I paid bribe to get approval of plan to build house
                    ","Paid INR 1,00,000
                        ","Municipal Services","Registration of Land","263 views","Kolkata
                      , West Bengal","October 15, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Kota.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","252 views","Kota
                      , Rajasthan","October 15, 2015"
"
                      New connection request - paid INR 5300 receipt only for ~ INR 4800
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","New Gas Connection","321 views","Bangalore
                      , Karnataka","October 15, 2015"
"
                      I Paid Rs. 5 to Commercial Tax, Sales Tax, VAT in Mumbai.
                    ","Paid INR 5
                        ","Commercial Tax, Sales Tax, VAT","C Form","248 views","Mumbai
                      , Maharashtra","October 15, 2015"
"
                      I have Piad bride in RTO Office
                    ","Paid INR 2,000
                        ","Transport","General RTO related","401 views","Bangalore
                      , Karnataka","October 15, 2015"
"
                      I Paid Rs. 300 to Municipal Services in Abhayapuri.
                    ","Paid INR 300
                        ","Municipal Services","Birth Certificate","247 views","Abhayapuri
                      , Assam","October 14, 2015"
"
                      Paid bribe for Police clearance
                    ","Paid INR 2,500
                        ","Passport","Police Verification for Passport","452 views","Pune
                      , Maharashtra","October 14, 2015"
"
                      I Paid Rs. 20 to Police in Kurnool.
                    ","Paid INR 20
                        ","Police","Traffic Violations","289 views","Kurnool
                      , Andhra Pradesh","October 14, 2015"
"
                      I Paid Rs. 20 to Municipal Services in Siliguri.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","253 views","Siliguri
                      , West Bengal","October 14, 2015"
"
                      I Paid Rs. 10 to Customs, Excise and Service Tax in Pithoragarh.
                    ","Paid INR 10
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","272 views","Pithoragarh
                      , Uttarakhand","October 14, 2015"
"
                      I Paid Rs. 20000 to Stamps and Registration in Tumkur.
                    ","Paid INR 20,000
                        ","Stamps and Registration","Marriage Certificate","369 views","Tumkur
                      , Karnataka","October 14, 2015"
"
                      I Paid Rs. 10 to Municipal Services in Hubli.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","213 views","Hubli
                      , Karnataka","October 14, 2015"
"
                      I Paid Rs. 2000 to Transport in Jalandhar.
                    ","Paid INR 2,000
                        ","Transport","New Domestic Driving License","300 views","Jalandhar
                      , Punjab","October 14, 2015"
"
                      I Paid Rs. 6000 to Municipal Services in Abohar.
                    ","Paid INR 6,000
                        ","Municipal Services","Birth Certificate","236 views","Abohar
                      , Punjab","October 14, 2015"
"
                      I Paid Rs. 11 to Municipal Services in Kota.
                    ","Paid INR 11
                        ","Municipal Services","Birth Certificate","201 views","Kota
                      , Rajasthan","October 14, 2015"
"
                      I Paid Rs. 200 to Food, Civil Supplies and Consumer Affairs in Banda.
                    ","Paid INR 200
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","237 views","Banda
                      , Uttar Pradesh","October 14, 2015"
"
                      I Paid Rs. 123 to Others in Bharatpur.
                    ","Paid INR 123
                        ","Others","Others","196 views","Bharatpur
                      , Rajasthan","October 14, 2015"
"
                      I Paid Rs. 10 to Food, Civil Supplies and Consumer Affairs in Salem.
                    ","Paid INR 10
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","178 views","Salem
                      , Tamil Nadu","October 14, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Nagaon.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","148 views","Nagaon
                      , Assam","October 14, 2015"
"
                      I Paid Rs. 200 to Police in Nainital.
                    ","Paid INR 200
                        ","Police","Traffic Violations","179 views","Nainital
                      , Uttarakhand","October 14, 2015"
"
                      I Paid Rs. 5000 to Transport in Adilabad.
                    ","Paid INR 5,000
                        ","Transport","Duplicate Registration Certificate","187 views","Adilabad
                      , Telangana","October 14, 2015"
"
                      I Paid Rs. 10 to Municipal Services in Abhayapuri.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","137 views","Abhayapuri
                      , Assam","October 14, 2015"
"
                      I Paid Rs. 250000 to Municipal Services in Baran.
                    ","Paid INR 2,50,000
                        ","Municipal Services","Birth Certificate","77 views","Baran
                      , Rajasthan","October 14, 2015"
"
                      I Paid Rs. 30000 to Municipal Services in Bangalore.
                    ","Paid INR 30,000
                        ","Municipal Services","Birth Certificate","162 views","Bangalore
                      , Karnataka","October 14, 2015"
"
                      I Paid Rs. 3000 to Others in Bijnaur.
                    ","Paid INR 3,000
                        ","Others","Others","143 views","Bijnaur
                      , Uttar Pradesh","October 14, 2015"
"
                      I Paid Rs. 100 to Others in Bilaspur.
                    ","Paid INR 100
                        ","Others","Others","146 views","Bilaspur
                      , Chhattisgarh","October 14, 2015"
"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Ghaziabad.
                    ","Paid INR 10
                        ","Commercial Tax, Sales Tax, VAT","C Form","146 views","Ghaziabad
                      , Uttar Pradesh","October 14, 2015"
"
                      I Paid Rs. 70000 to Municipal Services in Bagaha.
                    ","Paid INR 70,000
                        ","Municipal Services","Birth Certificate","97 views","Bagaha
                      , Bihar","October 14, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Abohar.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","157 views","Abohar
                      , Punjab","October 14, 2015"
"
                      I Paid Rs. 10 to Municipal Services in Varanasi.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","132 views","Varanasi
                      , Uttar Pradesh","October 14, 2015"
"
                      Police verification for Passport
                    ","Paid INR 500
                        ","Public Works Department","Public Works","224 views","Bangalore
                      , Karnataka","October 13, 2015"
"
                      I Paid Rs. 5000 to Police in Bangalore.
                    ","Paid INR 5,000
                        ","Police","Traffic Violations","253 views","Bangalore
                      , Karnataka","October 13, 2015"
"
                      I Paid Rs. 20 to Municipal Services in Chennai.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","225 views","Chennai
                      , Tamil Nadu","October 13, 2015"
"
                      I Paid Rs. 9999 to Customs, Excise and Service Tax in Abhayapuri.
                    ","Paid INR 9,999
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","241 views","Abhayapuri
                      , Assam","October 13, 2015"
"
                      I Paid Rs. 10 to Municipal Services in Hyderabad.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","217 views","Hyderabad
                      , Telangana","October 13, 2015"
